Raw Name,Clean Name,alt name,Flip Vertical,Rotation Applied,Z reverse,Flipped in Preprocessing,Notes,Egocentric Leaning,Skip Affine,Refinement Inclusion,Correction Angle,MB Tilt Angle,Δ from 90,Mirrored?,Mirror Value,Experiment,Condition,AMIRA volume,neuropil segmenter / notes,L MB,R MB,L AL,R AL,L OL,R OL,CBupper,CBlower,PB,L NO,R NO,CB,CX,body length,head area
DFB01_Airyscan Processing_Stitch.czi,synA647_DF_B01.nrrd,DFB01,0,0,0,0,na,left,0,1,1.68,126.37,36.37,1,-36.37,refbrain,included,4940765,LL,519400,521599,273043,278091,8279,9731,21641,7556,5361,697,671,29197,35926,,
DFB03_A_Airyscan Processing_Stitch.czi,synA647_DF_B03_A.nrrd,,0,4.8,0,0,na,right,0,1,4.26,119.12,29.12,0,29.12,refbrain,included,6061877,used LL but was done by all 3,722126,656694,339778,285753,10704,8177,29136,7176,10835,914,1195,36312,49256,,
DFB03_B_Airyscan Processing_Stitch.czi,synA647_DF_B03_B.nrrd,,0,0,0,0,na,left,0,1,-1.4,116.71,26.71,1,-26.71,refbrain,included,4355634,,,,,,,,,,,,,,,,
DFB03_D_Airyscan Processing_Stitch.czi,synA647_DF_B03_D.nrrd,,0,0,0,0,sym in past,right,0,1,-1.9,101.31,11.31,0,11.31,refbrain,included,4416600,,,,,,,,,,,,,,,,
DFB04_B_Airyscan Processing_Stitch.czi,synA647_DF_B04_B.nrrd,,0,0,0,0,na,right,0,1,-3.37,120.61,30.61,0,30.61,refbrain,included,4437437,,,,,,,,,,,,,,,,
DFB05_C_Airyscan Processing_Stitch.czi,synA647_DF_B05_C.nrrd,,0,0,0,0,na,right,0,1,3.48,118.78,28.78,0,28.78,refbrain,included,5616344,,,,,,,,,,,,,,,,
DFB14_Airyscan Processing_Stitch.czi,synA647_DF_B14.nrrd,,0,2.9,0,0,na + sym in past,left,0,1,-2.91,106.78,16.78,1,-16.78,refbrain,included,3599527,,,,,,,,,,,,,,,,
DFB16_Airyscan Processing_Stitch.czi,synA647_DF_B16.nrrd,,0,0,0,0,na,left,0,1,-0.83,121.02,31.02,1,-31.02,refbrain,included,3982071,,426202,428051,,,,,,,,,,,,,
DFC01_AiryscanProcessing_Stitch.czi,synA647_DF_C01.nrrd,,0,-2.9,0,0,na,left,0,1,-0.08,102.53,12.53,1,-12.53,refbrain,included,3627123,,,,,,,,,,,,,,,,
DFC04_Airyscan processing_Stitch.czi,synA647_DF_C04-fixed.nrrd,,0,2.9,0,0,fixed (piece of VNC removed),left,0,1,0.14,123.05,33.05,1,-33.05,refbrain,included,3689770,,,,,,,,,,,,,,,,
DFC05_Airyscan Processing_Stitch.czi,synA647_DF_C05.nrrd,,0,0,0,0,low intensity,right,0,1,-1.13,116.87,26.87,0,26.87,refbrain,included,4334935,,502515,508397,260308,266733,6273,6593,22303,6482,5824,793,659,28785,36061,,
DFC07_Airyscan Processing_Stitch.czi,synA647_DF_C07.nrrd,,0,0,0,0,na + sym in past,left,0,1,1.3,96.53,6.53,1,-6.53,refbrain,included,3784537,,,,,,,,,,,,,,,,
DFC08_Airyscan Processing_Stitch.czi,synA647_DF_C08.nrrd,,0,0,0,0,na,left,0,1,-0.78,111.49,21.49,1,-21.49,refbrain,included,3900255,,,,,,,,,,,,,,,,
220216_ant_40x_A647syn_brain10.tif,synA647_LL_10_220216.nrrd,,0,2.9,0,1,distorted cx,left,0,1,-0.09,113.84,23.84,1,-23.84,refbrain,included,7184972,"segmented after flip, do not need to change labels",,,,,,,,,,,,,,,
LL_201212_1-3_brain3_synorf.tiff,synA647_LL_1-33.nrrd,,0,0,0,1,distorted cx + sym in past,right,0,1,1.02,120.44,30.44,0,30.44,refbrain,included,4347272,,,,,,,,,,,,,,,,
220217_A647syn_brain14.tif,synA647_LL_14_220217.nrrd,,0,-83.2,0,1,low intensity,left,0,1,-1.81,114.54,24.54,1,-24.54,refbrain,included,4493780,,,,,,,,,,,,,,,,
LL_201212_1-4_brain1_synorf.tiff,synA647_LL_1-41.nrrd,,0,0,0,1,slightly left + sym in past,right,0,1,-0.7,108.2,18.2,0,18.2,refbrain,included,4525212,,,,,,,,,,,,,,,,
220217_ant_40x_A647syn_brain15.tif,synA647_LL_15_220217.nrrd,,0,90,1,1,distorted cxt + sym in past,right,0,1,3.9,99.79,9.79,0,9.79,refbrain,included,5661965,,,,,,,,,,,,,,,,
LL_201120_B1-1_synorf.tif,synA647_LL_201120_B11.nrrd,,0,0,0,1,anterior cut,left,0,1,-4.35,121.2,31.2,1,-31.2,refbrain,included,5102726,,,,,,,,,,,,,,,,
LL_201120_B2-1_synorf.tif,synA647_LL_201120_B21.nrrd,,0,4.8,0,1,anterior cut,left,0,1,1.17,125.28,35.28,1,-35.28,refbrain,included,4919411,,,,,,,,,,,,,,,,
LL_201120_C2-1_synorf.tif,synA647_LL_201120_C21.nrrd,,0,0,0,1,anterior cut,right,0,1,0.58,116.57,26.57,0,26.57,refbrain,included,5153776,,,,,,,,,,,,,,,,
LL_201123_C2-2_synorf.tif,synA647_LL_201123_C22.nrrd,,0,0,0,1,anterior cut,right,0,1,1.55,122.04,32.04,0,32.04,refbrain,included,5525003,,,,,,,,,,,,,,,,
